delta_time_ms,delta_time_s,head_pos_x,head_pos_y,head_pos_z,head_rot_w,head_rot_x,head_rot_y,head_rot_z,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_w,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_w,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z
1400.0999999999522,1.4000999999999522,-5.277514,151.1436,-266.427,-0.993876,-0.01803939,0.10649,0.0233422,-13.76548,135.8175,-302.9787,0.8357897,0.5118588,-0.09963447,0.1718405,17.89819,114.6465,-289.07099999999997,0.868176,0.35188,-0.07651401,-0.3414622
1414.199999999937,1.414199999999937,-5.247927,151.1626,-266.3764,-0.9937012,-0.01865234,0.1079862,0.02342858,-13.698820000000001,135.8314,-302.9379,0.8358071,0.5137689,-0.09433463,0.1690236,17.816489999999998,117.2128,-290.0697,0.851495,0.395691,-0.05760521,-0.3392149
1428.299999999922,1.428299999999922,-5.21692,151.183,-266.33119999999997,-0.9935101,-0.01973669,0.1095978,0.02316114,-13.70077,135.8745,-302.94530000000003,0.8375672,0.5136837,-0.08754641,0.1641524,17.84421,119.8099,-290.81,0.8327062,0.4377156,-0.03832033,-0.3369525
1442.3999999999069,1.4423999999999069,-5.1960109999999995,151.19469999999998,-266.29040000000003,-0.99333,-0.02084856,0.1110869,0.02281456,-13.759409999999999,135.8889,-302.8954,0.8391499,0.5112174,-0.08712006,0.1639951,17.95985,121.537,-291.5786,0.8175159,0.4670558,-0.02793947,-0.3357767
1456.299999999942,1.456299999999942,-5.1779150000000005,151.2004,-266.25640000000004,-0.9931803,-0.02216813,0.1121366,0.02295077,-13.78037,135.9219,-302.8252,0.8388572,0.510333,-0.08904549,0.1671814,17.972640000000002,123.50410000000001,-292.31120000000004,0.7982464,0.5069305,-0.01503217,-0.3249584
1470.199999999977,1.470199999999977,-5.172324,151.2159,-266.2221,-0.9930512,-0.02287629,0.1130873,0.02318109,-13.798309999999999,135.9534,-302.7559,0.838546,0.5095738,-0.09073722,0.1701235,17.987000000000002,125.45550000000001,-293.0434,0.7775973,0.5450423,-0.002291262,-0.3134744
1484.6999999999753,1.4846999999999753,-5.162084,151.2484,-266.1582,-0.9928212,-0.02432803,0.1148071,0.02309952,-13.80419,135.91,-302.5942,0.8376194,0.5097618,-0.09403089,0.1723216,17.90916,127.05390000000001,-293.4144,0.7576543,0.5823843,0.01017216,-0.2944232
1499.499999999898,1.499499999999898,-5.162227,151.255,-266.1199,-0.9927742,-0.02484163,0.1151398,0.02291308,-13.87186,136.0054,-302.34139999999996,0.8366468,0.5096074,-0.09798935,0.1752726,18.24225,129.9016,-295.4468,0.710006,0.6569703,0.03626493,-0.2509311
1522.6999999999862,1.5226999999999862,-5.157256,151.2547,-266.0757,-0.9927968,-0.02496229,0.1150441,0.02227911,-13.903509999999999,136.0516,-302.2181,0.8361588,0.5095549,-0.09984019,0.1767036,18.40259,131.3417,-296.4497,0.6835958,0.6913695,0.04907107,-0.2286852
1537.6999999999723,1.5376999999999723,-5.151081,151.2542,-266.03970000000004,-0.9927914,-0.02486302,0.1153009,0.02127714,-13.83561,136.0851,-302.1685,0.8351833,0.5119149,-0.0985491,0.1752142,17.91061,132.57840000000002,-296.63210000000004,0.6843306,0.6962333,0.03256381,-0.2142208
1553.0999999999722,1.5530999999999722,-5.1487680000000005,151.2489,-266.0084,-0.9927712,-0.02461086,0.1157069,0.02028564,-13.77225,136.1192,-302.1174,0.8342244,0.5141577,-0.09732127,0.1738968,17.46799,133.84290000000001,-296.8865,0.6823227,0.7031329,0.01845673,-0.1992465
1566.2999999999556,1.5662999999999556,-5.160201,151.255,-265.9826,-0.9927487,-0.02448703,0.1159569,0.02011112,-13.784740000000001,136.0662,-302.00239999999997,0.8349011,0.5142664,-0.09690192,0.1705296,17.12932,134.70759999999999,-296.83160000000004,0.6921534,0.6969172,0.007309794,-0.1875546
1580.3999999999403,1.5803999999999403,-5.181134,151.2734,-265.95939999999996,-0.9927304,-0.02449865,0.1160744,0.02032052,-13.80401,136.0512,-301.92719999999997,0.835566,0.5130756,-0.09757522,0.1704754,16.95545,135.7225,-297.2436,0.7140682,0.6758045,-0.009438813,-0.1824986
