Unnamed: 0,delta_time_ms,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,head_rot_w,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,left_hand_rot_w,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,right_hand_rot_w
5924,810.0000000000073,38.2751,155.37099999999998,-281.0493,-0.276683,-0.126173,0.016233,0.952504,23.8453,135.0834,-305.8661,-0.436164,0.356076,0.266269,-0.78235,62.4885,127.7682,-319.2649,-0.30372,0.08905,0.045485,-0.9475
5925,822.0000000000073,38.2667,155.529,-280.98420000000004,-0.271146,-0.1272839999999999,0.0174889999999999,0.953925,23.8906,135.1283,-305.8645,-0.437206,0.356351,0.266243,-0.781651,62.4278,128.6482,-318.9569,-0.321296,0.0879539999999999,0.025483,-0.942541
5926,833.0000000000073,38.2517,155.6932,-280.9089,-0.26539,-0.1284529999999999,0.018782,0.955361,23.9517,135.1932,-305.8601,-0.438583,0.35683,0.2660619999999999,-0.780723,62.364700000000006,129.4722,-318.6377,-0.3371159999999999,0.085993,0.0075959999999999,-0.937497
5927,844.0000000000073,38.2409,155.85139999999998,-280.82980000000003,-0.259868,-0.129579,0.019991,0.956702,23.9851,135.2392,-305.8547,-0.43986,0.357045,0.266216,-0.779853,62.2887,130.2679,-318.32980000000003,-0.351153,0.084728,-0.009033,-0.932433
5928,856.0000000000073,38.2252,156.0086,-280.7447,-0.25454,-0.130735,0.021244,0.957949,24.0695,135.329,-305.8382,-0.44359,0.356512,0.2680889999999999,-0.777339,62.2571,131.0236,-318.0513,-0.364733,0.0851809999999999,-0.025121,-0.926867
5929,866.0000000000073,38.2064,156.1645,-280.6552,-0.249163,-0.13198,0.022411,0.959165,24.148499999999988,135.4126,-305.8121,-0.4475939999999999,0.355633,0.270567,-0.774583,62.1837,131.78879999999998,-317.7234,-0.379156,0.0861659999999999,-0.041837,-0.920362
5930,878.0000000000073,38.1879,156.3178,-280.558,-0.2437969999999999,-0.13324,0.02356,0.960341,24.2304,135.5016,-305.7833,-0.4514869999999999,0.354743,0.273069,-0.771849,62.1527,132.5075,-317.4239,-0.393554,0.088764,-0.0604179999999999,-0.913009
5931,889.0000000000073,38.168800000000005,156.4754,-280.4622,-0.2385139999999999,-0.134478,0.0245419999999999,0.96147,24.3242,135.596,-305.748,-0.455381,0.35394,0.275922,-0.76891,62.038,133.199,-317.0676,-0.4092469999999999,0.090647,-0.080997,-0.904289
5932,899.0000000000073,38.1473,156.6278,-280.3547,-0.233228,-0.135878,0.025468,0.962545,24.4281,135.701,-305.7135,-0.458758,0.35368,0.278044,-0.766253,61.9499,133.8737,-316.7373,-0.424985,0.09137,-0.101217,-0.8948709999999999
5933,910.0000000000073,38.1232,156.7767,-280.2475,-0.228158,-0.1373329999999999,0.0263279999999999,0.96353,24.5441,135.8174,-305.6806,-0.461791,0.353948,0.2792719999999999,-0.763857,61.7685,134.519,-316.3774,-0.441881,0.088933,-0.124931,-0.883869
5934,922.0000000000073,38.099,156.9208,-280.1401,-0.22323,-0.138802,0.0271149999999999,0.964452,24.65429999999999,135.9384,-305.64300000000003,-0.464579,0.3543389999999999,0.279898,-0.761753,61.5821,135.1174,-316.0416,-0.457319,0.087609,-0.147893,-0.872532
5935,934.0000000000073,38.0756,157.0582,-280.0255,-0.21865,-0.1401869999999999,0.027854,0.965279,24.7831,136.09029999999998,-305.60990000000004,-0.467001,0.3550239999999999,0.279254,-0.760188,61.4164,135.6383,-315.7105,-0.472554,0.08522,-0.171,-0.860342
5936,944.0000000000073,38.0498,157.1865,-279.9127,-0.21439,-0.141617,0.028451,0.966009,24.9034,136.2441,-305.5812,-0.4694279999999999,0.355428,0.2782949999999999,-0.7588550000000001,61.2437,136.1355,-315.3839,-0.485991,0.081079,-0.189489,-0.8493129999999999
5937,955.0000000000073,38.0252,157.304,-279.79470000000003,-0.210365,-0.142864,0.028897,0.966696,25.0344,136.4256,-305.5444,-0.4725649999999999,0.355323,0.277356,-0.7572989999999999,61.0834,136.5799,-315.088,-0.4979449999999999,0.077455,-0.209024,-0.8380690000000001
